lugar,latitude,longitude
Divino Coração, -29.782501731365148, -55.79123742347503
ESCOLA ESTADUAL DE ENSINO MÉDIO DEMÉTRIO RIBEIRO, -29.787808457194586, -55.79489148747189
Ciep - Escola Estadual Escola Estadual Doutor Romário Araújo de Oliveira, -29.78788477978432, -55.80556120281586
Emílio Zuneda, -29.795888057995487, -55.806861228430336
JOAO ANDRE FIGUEIRA, -23.64952225129098, -46.508305958816706
JOSÉ BONIFÁCIO, -29.80798190897642, -55.80867710798475
JUNTO EMEB WALDEMAR BORGES, -29.805992741029417, -55.750199560487246
E.M.E.B Murillo Nunes De Oliveira, -29.689244314899135, -56.17567664699904
Instituto Estadual de Educação Oswaldo Aranha, -29.7778724494589, -55.79191978249946
PROFESSOR RAYMUNDO LUIZ MARINHO CARVALHO, -29.783775268476955, -55.79170428747193
TANCREDO DE ALMEIDA NEVES, -29.8013690228247, -55.79611311815939
